x (J),y (J)
# Kula 1 & mätning 1
0.001434503592178607,0.0026995989195225368
0.0013168874334686157,0.0026135632056897636
0.0012058349028740878,0.0024444050365352893
0.0011065394431145038,0.0023552482713990737
0.0010172855797805022,0.0021871172774920442
0.00093178309553135,0.002070811612176956
0.0008560800666701243,0.0018875249566693924
0.0007862412000573912,0.0018413861930281212
0.0007196919097750597,0.0017706676017123205
# Kula 1 & mätning 2
0.0031787173489253836,0.004229659727875911
0.0029286079281946025,0.004032349816983319
0.0026970042462888134,0.0036178085340550707
0.0024829064902109005,0.003723916604588934
0.0022820266775266194,0.0033756153354775015
0.0020974404174549533,0.0031863961757230153
0.0019266793925847474,0.0030568655512468266
0.0017695667158422305,0.0029772434324672335
# Kula 2 & mätning 1
0.003503512686014796,0.005176359389586055
0.0032411984434710162,0.004986974634857388
0.0029993010883465183,0.004674431961434511
0.0027761806469744957,0.004492818121985427
0.0025692305313629953,0.00429140584598145
0.0023761928910181846,0.004020601138866485
0.002196792973518721,0.0038328072935354153
0.0020303141309692247,0.003748634780624691
# Kula 2 & mätning 2
0.004572966244093869,0.006659872471746867
0.004227069833874479,0.006074204087087694
0.0039107977772378935,0.005652535124347832
0.003617812659542364,0.005353734734510309
0.0033459301448765747,0.00504542924239402
0.0030967805756045757,0.00476707158689838
0.0028668604823821582,0.004515290161807399
0.002653547798424057,0.00427458042649339
