FILE_VERSION	2.0.0
NO_OF_FRAMES	7500
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 14:14:07.741	217410.97439210
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-73.312	9.080	231.533
-70.254	9.055	231.239
-67.357	8.798	230.889
-64.470	8.861	230.675
-61.484	8.602	230.351
-58.622	8.623	230.124
-55.654	8.444	229.888
-52.675	8.270	229.689
-49.847	8.067	229.356
-46.911	8.126	229.223
-43.915	8.088	228.997
-40.920	8.166	228.922
-38.002	7.860	228.613
-35.091	7.623	228.429
-32.018	7.715	228.440
-29.064	7.646	228.251
-26.127	7.600	228.105
-23.118	7.562	228.043
-20.198	7.219	227.782
-17.230	7.273	227.858
-14.217	7.281	227.772
-11.226	7.118	227.634
-8.356	6.854	227.492
-5.274	7.075	227.609
-2.282	6.904	227.592
0.663	6.746	227.531
3.725	6.566	227.499
6.689	6.517	227.476
9.665	6.374	227.472
12.658	6.361	227.473
15.606	6.225	227.538
18.603	6.240	227.677
21.585	5.963	227.597
24.607	6.010	227.744
27.514	5.726	227.819
30.541	5.717	227.854
33.475	5.537	227.945
36.495	5.383	228.096
39.466	5.307	228.169
42.428	5.381	228.434
45.380	5.234	228.549
48.339	5.257	228.783
51.322	4.906	228.894
54.289	4.871	229.144
57.203	4.720	229.288
60.137	4.643	229.530
63.075	4.483	229.722
66.073	4.530	230.039
68.968	4.405	230.226
71.936	4.227	230.493
74.836	4.063	230.752
77.740	4.039	231.062
80.680	4.001	231.356
83.587	3.817	231.674
86.506	3.694	231.982
89.384	3.673	232.341
92.199	3.319	232.657
95.053	3.075	233.015
97.833	2.855	233.391
100.844	3.058	233.736
103.672	2.881	234.102
106.502	2.767	234.532
109.265	2.449	234.894
112.078	2.082	235.297
114.852	1.956	235.724
117.685	1.994	236.186
120.518	1.875	236.616
123.330	1.812	237.103
126.174	1.948	237.580
128.846	1.523	238.025
131.619	1.213	238.436
134.407	1.344	238.998
137.103	1.195	239.480
139.964	1.025	239.978
142.651	1.005	240.498
145.378	0.755	241.021
148.057	0.684	241.542
150.791	0.490	242.109
153.473	0.368	242.669
156.144	0.310	243.248
158.876	0.200	243.808
161.467	0.251	244.404
164.106	0.147	245.003
166.763	-0.066	245.568
169.363	-0.279	246.153
172.009	-0.302	246.741
174.643	-0.474	247.342
177.151	-0.466	247.972
179.741	-0.558	248.633
182.312	-0.568	249.290
184.837	-0.690	249.919
187.394	-0.846	250.559
189.894	-1.007	251.199
192.382	-1.109	251.856
194.849	-1.135	252.545
197.324	-1.094	253.258
199.756	-1.218	253.927
202.238	-1.337	254.619
204.654	-1.516	255.319
207.039	-1.681	255.998
209.395	-1.631	256.713
211.793	-1.685	257.423
214.169	-1.788	258.151
216.516	-1.855	258.892
218.852	-1.848	259.649
221.240	-2.012	260.372
223.512	-2.042	261.100
225.766	-2.037	261.842
228.044	-2.122	262.556
230.262	-2.181	263.297
232.551	-2.297	264.039
234.791	-2.370	264.815
236.994	-2.610	265.564
239.189	-2.610	266.308
241.339	-2.546	267.082
243.495	-2.635	267.847
245.633	-2.689	268.597
247.772	-2.716	269.380
249.909	-2.881	270.147
252.032	-2.989	270.923
254.119	-3.050	271.682
256.124	-3.241	272.429
258.157	-3.198	273.212
260.195	-3.183	273.992
262.184	-3.290	274.760
264.200	-3.327	275.537
266.206	-3.434	276.295
268.179	-3.621	277.053
270.102	-3.618	277.840
272.024	-3.684	278.620
273.856	-3.557	279.401
275.725	-3.696	280.194
277.616	-3.721	280.965
279.487	-3.908	281.683
281.325	-3.923	282.433
283.171	-4.203	283.213
284.964	-4.226	283.986
286.742	-4.270	284.752
288.456	-4.338	285.498
290.203	-4.366	286.254
291.909	-4.372	287.040
293.642	-4.492	287.793
295.319	-4.670	288.518
297.038	-4.599	289.310
298.655	-4.739	290.038
300.312	-4.760	290.794
301.927	-4.779	291.547
303.510	-4.924	292.264
305.071	-4.962	293.003
306.652	-4.983	293.741
308.181	-5.009	294.477
309.742	-5.125	295.170
311.270	-5.370	295.861
312.772	-5.435	296.597
314.265	-5.481	297.316
315.728	-5.767	297.979
317.181	-5.653	298.723
318.590	-5.845	299.390
319.972	-5.855	300.086
321.368	-5.932	300.767
322.728	-5.947	301.452
324.120	-6.058	302.131
325.432	-6.305	302.755
326.782	-6.260	303.472
328.072	-6.530	304.067
329.363	-6.625	304.730
330.576	-6.528	305.397
331.835	-6.651	306.017
333.051	-6.799	306.623
334.208	-6.955	307.199
335.378	-6.886	307.851
336.546	-7.151	308.428
337.681	-7.142	309.047
338.807	-7.283	309.599
339.931	-7.448	310.173
341.013	-7.495	310.741
342.106	-7.671	311.295
343.194	-7.736	311.893
344.218	-7.927	312.399
345.190	-7.972	312.945
346.152	-8.019	313.468
347.168	-7.974	314.010
348.104	-8.134	314.504
349.042	-8.270	314.981
349.907	-8.289	315.478
