FILE_VERSION	2.0.0
NO_OF_FRAMES	7500
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 13:57:47.136	216430.37069500
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-186.444	1.254	252.031
-184.294	0.878	251.380
-182.123	0.791	250.753
-179.833	0.867	250.163
-177.654	0.749	249.607
-175.452	0.452	249.018
-173.119	0.548	248.445
-170.776	0.519	247.863
-168.514	0.531	247.317
-166.275	0.273	246.716
-163.866	0.257	246.171
-161.585	0.117	245.600
-159.228	0.088	245.020
-156.848	0.105	244.503
-154.480	0.018	243.984
-152.077	-0.065	243.467
-149.687	-0.139	242.905
-147.262	-0.275	242.408
-144.879	-0.359	241.875
-142.485	-0.467	241.357
-140.106	-0.522	240.814
-137.612	-0.575	240.351
-135.125	-0.582	239.887
-132.716	-0.670	239.396
-130.240	-0.878	238.934
-127.826	-1.075	238.387
-125.295	-0.970	237.997
-122.697	-0.953	237.582
-120.290	-1.075	237.095
-117.748	-1.087	236.669
-115.219	-1.149	236.262
-112.757	-1.276	235.840
-110.220	-1.360	235.382
-107.580	-1.410	235.010
-105.046	-1.306	234.697
-102.511	-1.518	234.240
-99.930	-1.653	233.841
-97.355	-1.770	233.480
-94.742	-1.688	233.228
-92.152	-2.007	232.796
-89.602	-1.932	232.405
-86.958	-2.208	232.066
-84.343	-1.976	231.821
-81.688	-2.159	231.510
-79.100	-2.287	231.179
-76.487	-2.472	230.879
-73.819	-2.573	230.572
-71.127	-2.580	230.297
-68.430	-2.403	230.135
-65.847	-2.767	229.728
-63.243	-2.977	229.498
-60.498	-2.909	229.221
-57.816	-2.825	229.079
-55.092	-3.101	228.836
-52.409	-3.021	228.659
-49.794	-3.250	228.371
-47.030	-3.103	228.224
-44.343	-3.358	228.026
-41.599	-3.091	227.964
-38.936	-3.211	227.832
-36.208	-3.481	227.551
-33.536	-3.560	227.402
-30.874	-3.535	227.318
-28.103	-3.517	227.171
-25.388	-3.653	227.114
-22.690	-4.035	226.895
-19.918	-3.810	226.922
-17.161	-3.774	226.896
-14.562	-3.827	226.763
-11.864	-3.865	226.695
-9.138	-4.200	226.498
-6.328	-4.017	226.612
-3.645	-4.174	226.609
-0.831	-4.115	226.626
1.834	-4.325	226.483
4.619	-4.298	226.527
7.291	-4.446	226.482
9.969	-4.506	226.539
12.722	-4.538	226.523
15.516	-4.447	226.687
18.291	-4.360	226.735
20.973	-4.705	226.655
23.715	-4.631	226.829
26.408	-4.824	226.787
29.121	-4.846	226.846
31.837	-4.925	226.956
34.579	-4.983	227.110
37.289	-4.983	227.180
39.932	-5.260	227.308
42.743	-5.072	227.528
45.473	-5.156	227.620
48.108	-5.507	227.745
50.892	-5.324	227.925
53.570	-5.220	228.164
56.221	-5.487	228.281
58.929	-5.296	228.538
61.583	-5.571	228.661
64.322	-5.707	228.868
67.011	-5.656	229.131
69.742	-5.720	229.342
72.359	-5.814	229.582
75.004	-5.838	229.845
77.668	-5.867	230.099
80.307	-5.969	230.336
83.004	-5.935	230.682
85.635	-6.164	230.899
88.272	-5.917	231.287
90.885	-6.231	231.529
93.512	-6.240	231.850
96.041	-6.430	232.105
