FILE_VERSION	2.0.0
NO_OF_FRAMES	7500
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 14:29:10.887	218314.11943460
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
67.341	-8.228	227.968
69.861	-8.986	227.955
72.225	-9.819	227.955
75.021	-9.741	228.263
77.687	-10.069	228.576
80.098	-9.970	228.779
82.803	-9.616	229.132
85.253	-9.468	229.322
87.859	-10.135	229.606
90.387	-9.935	229.949
92.997	-9.821	230.208
95.391	-9.842	230.536
98.034	-9.843	231.025
100.561	-9.919	231.206
102.935	-10.487	231.400
105.706	-9.875	232.029
107.966	-10.607	232.105
110.667	-10.618	232.535
112.949	-11.041	232.744
115.450	-10.370	233.152
117.972	-10.443	233.699
120.453	-10.791	233.908
122.901	-10.867	234.310
125.327	-11.156	234.657
127.987	-11.199	235.219
130.264	-11.310	235.466
132.624	-11.478	235.861
135.076	-11.435	236.239
137.612	-11.342	236.798
139.999	-11.545	237.201
142.457	-10.962	237.778
144.917	-11.491	238.222
147.284	-11.361	238.718
149.490	-11.797	239.003
151.971	-11.376	239.568
154.352	-11.931	239.973
156.722	-11.385	240.679
158.868	-12.164	240.946
161.382	-11.568	241.627
163.568	-11.219	242.067
165.872	-11.638	242.499
168.093	-12.593	242.880
170.330	-11.754	243.522
172.545	-11.897	244.013
174.951	-11.972	244.656
177.134	-11.920	245.127
179.275	-11.536	245.609
181.410	-11.750	246.148
183.521	-11.976	246.633
185.852	-11.982	247.315
187.654	-10.729	247.911
190.038	-11.448	248.372
192.275	-11.112	249.028
194.302	-11.617	249.381
196.123	-10.568	250.118
198.481	-11.161	250.588
200.663	-11.121	251.225
202.497	-10.522	251.851
204.368	-10.652	252.371
206.339	-11.299	252.788
208.327	-11.104	253.432
210.159	-10.778	253.905
212.157	-10.668	254.586
214.246	-10.078	255.341
216.299	-10.120	255.979
217.997	-10.713	256.312
219.702	-10.227	256.998
221.635	-10.400	257.522
223.326	-9.955	258.258
225.118	-9.739	258.792
227.096	-9.775	259.431
229.025	-9.853	260.013
230.780	-9.274	260.686
232.776	-8.931	261.485
234.221	-9.333	261.918
235.988	-9.104	262.572
237.565	-9.406	262.899
239.289	-8.956	263.575
241.045	-8.905	264.201
242.722	-8.814	264.836
244.422	-8.553	265.470
246.614	-9.332	266.049
247.766	-8.515	266.691
249.468	-8.189	267.378
251.161	-8.359	267.997
252.795	-8.660	268.516
254.386	-8.204	269.166
255.922	-8.285	269.714
257.600	-7.967	270.465
259.117	-7.956	270.980
260.840	-7.492	271.744
262.339	-8.253	272.097
263.682	-7.840	272.826
265.191	-8.513	273.218
266.785	-7.950	274.022
268.293	-7.755	274.682
269.682	-7.874	275.136
271.119	-8.187	275.606
272.512	-8.235	276.195
273.943	-8.492	276.685
275.320	-7.864	277.433
276.862	-8.369	277.902
278.090	-8.324	278.449
279.441	-8.815	278.867
280.752	-8.271	279.572
282.123	-8.268	280.164
283.537	-7.948	280.804
284.745	-8.731	281.097
286.014	-8.429	281.706
287.213	-8.697	282.180
288.519	-8.120	282.827
289.816	-8.095	283.383
