FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-06, 10:52:59.189	3228.54624650
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-171.973	9.918	257.019
-169.474	9.467	256.357
-166.870	9.410	255.786
-164.376	9.086	255.156
-161.648	8.807	254.560
-159.125	8.419	253.946
-156.423	8.328	253.390
-153.962	8.081	252.920
-151.235	8.052	252.392
-148.727	7.517	251.774
-145.911	7.349	251.214
-143.327	6.979	250.664
-140.601	6.827	250.190
-137.920	6.821	249.792
-135.279	6.544	249.174
-132.450	6.319	248.694
-129.669	6.144	248.333
-127.099	5.717	247.740
-124.303	5.654	247.308
-121.456	5.237	246.901
-118.799	4.909	246.341
-116.005	4.907	245.990
-113.210	4.666	245.605
-110.466	4.101	245.114
-107.595	3.888	244.659
-104.779	3.731	244.382
-102.021	3.600	244.001
-99.189	3.302	243.692
-96.350	3.042	243.211
-93.597	2.831	242.878
-90.746	2.623	242.603
-87.845	2.268	242.207
-85.071	2.059	241.955
-82.180	1.943	241.682
-79.295	1.698	241.462
-76.400	1.375	241.116
-73.653	0.931	240.786
-70.743	0.532	240.531
-67.932	0.467	240.269
-64.983	0.295	240.078
-62.143	-0.039	239.788
-59.195	-0.168	239.630
-56.296	-0.503	239.438
-53.397	-1.064	239.123
-50.544	-1.077	239.032
-47.657	-1.515	238.851
-44.648	-1.813	238.707
-41.824	-1.815	238.659
-38.839	-2.221	238.498
-35.894	-2.634	238.354
-32.982	-2.868	238.170
-30.091	-2.999	238.071
-27.075	-3.455	237.962
-24.178	-3.397	238.011
-21.289	-3.805	238.011
-18.240	-4.175	237.920
-15.388	-4.601	237.810
-12.399	-4.734	237.827
-9.491	-4.954	237.818
-6.515	-5.505	237.773
-3.549	-5.575	237.810
-0.550	-5.841	237.844
2.263	-6.276	237.892
5.152	-6.472	237.900
8.103	-6.581	238.018
10.876	-6.833	238.098
13.957	-7.471	238.120
16.823	-7.637	238.345
19.695	-7.805	238.407
22.677	-7.872	238.574
25.546	-8.424	238.664
28.448	-8.465	238.825
31.350	-9.156	238.937
34.268	-9.055	239.178
37.116	-9.722	239.336
40.101	-9.708	239.557
42.852	-10.082	239.737
45.799	-10.131	239.954
48.610	-10.744	240.181
51.582	-10.800	240.437
54.397	-11.304	240.628
57.295	-11.325	240.959
60.053	-11.459	241.245
62.882	-12.046	241.489
65.798	-12.002	241.805
68.601	-12.344	242.134
71.419	-12.542	242.393
74.200	-12.660	242.753
76.977	-12.986	243.156
79.921	-13.383	243.408
82.655	-13.390	243.821
85.525	-13.923	244.232
88.271	-13.979	244.555
91.108	-14.278	244.995
93.786	-14.404	245.412
96.582	-14.882	245.826
99.356	-14.825	246.274
102.078	-15.263	246.648
104.858	-15.643	247.109
107.523	-15.759	247.602
110.189	-16.129	248.067
112.957	-16.110	248.555
115.551	-16.437	248.982
118.210	-16.757	249.483
120.878	-17.077	249.985
123.491	-17.288	250.520
126.165	-17.606	251.043
128.843	-17.557	251.583
131.376	-17.649	252.127
133.986	-18.015	252.688
136.571	-18.291	253.207
139.056	-18.612	253.680
141.654	-19.005	254.236
144.135	-19.123	254.818
146.760	-19.160	255.404
149.342	-19.334	255.984
151.849	-19.589	256.582
154.291	-19.892	257.171
156.820	-20.177	257.790
159.228	-20.306	258.392
161.750	-20.763	258.995
164.143	-20.886	259.635
166.599	-21.217	260.268
169.026	-21.415	260.929
171.374	-21.615	261.572
173.765	-21.862	262.226
176.092	-22.038	262.851
178.477	-22.344	263.511
180.842	-22.578	264.172
183.181	-22.886	264.826
185.457	-23.055	265.484
187.819	-22.963	266.196
190.036	-23.072	266.874
192.286	-23.229	267.560
194.547	-23.482	268.249
196.813	-23.762	268.957
199.011	-23.925	269.672
201.228	-24.159	270.368
203.335	-24.274	271.047
205.572	-24.681	271.754
207.677	-24.785	272.460
209.846	-25.068	273.148
212.072	-25.309	273.893
214.142	-25.461	274.582
216.118	-25.529	275.296
218.206	-25.807	276.026
220.217	-26.040	276.712
222.263	-26.222	277.455
224.220	-26.363	278.163
226.180	-26.625	278.849
228.200	-26.947	279.605
230.127	-27.123	280.307
232.043	-27.356	281.029
233.882	-27.384	281.748
235.841	-27.732	282.488
237.700	-27.978	283.189
239.518	-28.128	283.896
241.342	-28.382	284.580
243.262	-28.660	285.363
245.053	-28.490	286.131
246.848	-28.765	286.844
248.621	-28.955	287.588
250.353	-29.050	288.322
252.065	-29.299	289.026
253.766	-29.457	289.734
255.457	-29.345	290.473
257.190	-29.719	291.202
258.843	-29.454	291.984
260.529	-29.591	292.741
262.110	-29.753	293.425
263.737	-29.930	294.177
265.292	-30.120	294.863
266.907	-30.098	295.649
268.486	-30.324	296.338
270.061	-30.681	296.952
271.451	-30.761	297.619
272.933	-31.010	298.277
274.415	-30.931	299.053
275.903	-31.098	299.747
277.273	-31.013	300.458
278.764	-31.214	301.159
280.105	-31.100	301.832
281.431	-31.120	302.482
282.749	-31.447	303.049
284.070	-31.615	303.682
285.373	-31.516	304.374
286.607	-31.521	304.975
287.895	-31.686	305.606
289.173	-31.851	306.206
290.354	-32.076	306.772
291.607	-32.177	307.364
292.800	-32.123	307.986
293.967	-32.403	308.508
295.044	-32.547	309.009
296.290	-32.684	309.605
297.314	-32.605	310.119
298.396	-32.648	310.690
299.467	-32.846	311.170
300.598	-33.057	311.621
301.673	-33.040	312.188
302.629	-33.171	312.617
303.613	-33.317	313.058
304.583	-33.510	313.507
305.515	-33.556	313.909
306.534	-33.585	314.439
307.493	-33.816	314.807
308.304	-34.026	315.102
309.176	-33.839	315.650
309.917	-34.068	315.907
310.816	-33.749	316.496
311.537	-34.259	316.683
312.376	-33.954	317.227
313.151	-34.061	317.567
313.734	-34.256	317.789
314.558	-34.149	318.288
315.163	-34.447	318.488
315.873	-34.582	318.884
316.526	-34.561	319.205
317.182	-34.460	319.592
317.800	-34.707	319.806
318.365	-34.647	320.120
318.935	-34.671	320.402
319.526	-34.847	320.660
319.980	-34.466	321.015
320.564	-34.931	321.194
321.093	-34.951	321.487
321.529	-35.407	321.636
321.972	-34.866	321.997
322.382	-34.727	322.277
322.792	-34.936	322.455
323.151	-34.832	322.668
323.632	-34.999	322.902
323.960	-34.875	323.163
324.299	-35.309	323.265
324.634	-35.279	323.455
324.998	-35.210	323.724
325.316	-35.308	323.885
325.581	-35.463	324.023
325.770	-35.604	324.092
325.986	-35.770	324.184
326.280	-35.945	324.319
326.373	-35.645	324.476
326.571	-35.764	324.591
326.724	-35.781	324.716
326.837	-35.881	324.752
326.997	-36.374	324.733
327.170	-36.612	324.792
327.116	-36.509	324.799
327.224	-36.690	324.834
327.248	-36.774	324.850
327.198	-36.786	324.833
327.165	-36.847	324.819
327.192	-37.046	324.820
327.146	-36.750	324.917
327.043	-36.858	324.828
326.911	-36.908	324.801
326.833	-37.076	324.714
326.664	-37.112	324.632
326.515	-37.314	324.514
326.319	-37.523	324.353
326.114	-37.485	324.274
325.967	-37.414	324.289
325.651	-37.448	324.115
325.431	-37.500	324.021
325.116	-37.730	323.740
324.795	-37.444	323.703
324.471	-37.461	323.504
324.103	-37.529	323.318
323.732	-37.698	323.038
323.346	-37.740	322.820
323.023	-37.688	322.701
322.618	-37.722	322.477
322.175	-37.919	322.168
321.697	-38.018	321.886
321.261	-37.846	321.744
320.654	-37.990	321.345
320.215	-37.722	321.196
319.711	-37.915	320.898
319.143	-38.211	320.494
318.526	-38.127	320.202
317.878	-38.068	319.866
317.314	-38.224	319.561
316.619	-37.802	319.294
316.023	-38.365	318.804
315.392	-38.137	318.577
314.701	-38.314	318.122
313.942	-38.412	317.728
313.194	-38.509	317.265
312.459	-38.192	317.024
311.663	-38.411	316.522
310.929	-38.552	316.133
310.068	-38.386	315.672
309.259	-38.729	315.206
308.283	-38.477	314.752
307.477	-38.491	314.315
306.553	-38.623	313.823
305.658	-38.593	313.380
304.611	-38.765	312.786
303.667	-38.565	312.362
302.676	-38.488	311.845
301.621	-38.984	311.221
300.650	-38.606	310.801
299.616	-38.785	310.266
298.597	-38.644	309.752
297.378	-38.482	309.185
296.287	-38.607	308.603
295.257	-38.930	308.045
294.073	-38.329	307.533
292.961	-38.895	306.904
291.735	-38.659	306.320
290.596	-38.921	305.718
289.374	-38.736	305.154
288.176	-38.361	304.671
286.803	-38.628	303.942
285.612	-38.741	303.337
284.265	-39.121	302.617
283.062	-38.991	302.097
281.646	-38.653	301.480
280.313	-38.833	300.829
279.019	-38.784	300.220
277.487	-39.007	299.461
276.178	-38.885	298.874
274.760	-38.836	298.196
273.238	-38.897	297.501
271.773	-38.569	296.920
270.288	-38.531	296.249
268.858	-38.942	295.544
267.274	-38.650	294.876
265.717	-38.583	294.178
264.158	-38.515	293.511
262.577	-38.454	292.815
260.958	-38.539	292.102
259.332	-38.477	291.418
257.631	-38.702	290.661
255.978	-38.589	289.968
254.289	-38.415	289.260
252.584	-38.081	288.658
250.863	-37.974	287.972
249.215	-37.935	287.283
247.455	-37.783	286.576
245.697	-37.772	285.854
243.913	-37.714	285.127
242.114	-37.660	284.428
240.166	-37.630	283.665
238.370	-37.604	282.972
236.509	-37.905	282.218
234.678	-37.415	281.554
232.731	-37.620	280.811
230.845	-37.433	280.125
228.946	-37.481	279.384
226.951	-37.298	278.685
224.972	-37.066	277.983
223.031	-36.993	277.289
221.032	-36.942	276.569
219.072	-36.973	275.853
217.073	-36.894	275.174
215.009	-36.743	274.442
212.909	-36.533	273.768
210.886	-36.501	273.083
208.728	-36.232	272.388
206.579	-36.096	271.678
204.473	-35.937	271.018
202.338	-35.889	270.309
200.175	-35.729	269.648
198.006	-35.785	268.960
195.798	-35.487	268.289
193.531	-35.587	267.553
191.235	-35.586	266.891
189.029	-35.547	266.203
186.775	-35.396	265.540
184.609	-35.400	264.898
182.262	-35.148	264.221
180.007	-35.082	263.569
177.613	-34.817	262.926
175.251	-34.658	262.293
172.921	-34.493	261.634
170.642	-34.498	260.989
168.186	-34.171	260.343
165.852	-34.150	259.726
163.422	-33.941	259.093
160.916	-34.107	258.464
158.482	-33.833	257.864
156.126	-33.644	257.317
153.668	-33.415	256.725
151.110	-33.126	256.119
148.673	-32.875	255.569
146.244	-32.838	254.987
143.652	-32.570	254.402
141.137	-32.339	253.834
138.630	-32.620	253.285
135.999	-32.288	252.717
133.533	-32.000	252.239
130.950	-31.778	251.738
128.404	-31.528	251.187
125.811	-31.422	250.648
123.121	-31.537	250.117
120.542	-31.294	249.608
117.884	-31.000	249.112
115.376	-30.715	248.704
112.719	-30.536	248.223
109.970	-30.449	247.763
107.291	-30.243	247.255
104.686	-29.902	246.882
101.942	-30.073	246.436
99.230	-29.645	245.991
96.591	-29.543	245.520
93.869	-29.180	245.172
91.095	-29.101	244.791
88.389	-28.789	244.377
85.667	-28.738	243.952
82.906	-28.659	243.643
80.166	-28.225	243.262
77.360	-28.032	242.896
74.602	-27.820	242.607
71.804	-27.407	242.243
69.072	-27.282	241.901
66.312	-27.170	241.673
63.542	-26.955	241.322
60.641	-26.670	241.076
