FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 17:26:47.237	228970.38260560
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
231.448	-3.514	267.396
233.225	-3.589	267.990
234.988	-3.611	268.583
236.741	-3.759	269.154
238.468	-3.798	269.751
240.149	-3.849	270.346
241.851	-3.605	270.974
243.517	-3.597	271.583
245.157	-3.612	272.172
246.813	-3.654	272.768
248.448	-3.757	273.348
250.040	-3.797	273.944
251.652	-3.898	274.524
253.277	-3.741	275.134
254.813	-3.789	275.689
256.321	-3.714	276.296
257.852	-3.775	276.875
259.331	-3.741	277.479
260.808	-3.722	278.075
262.266	-3.763	278.630
263.744	-3.634	279.213
265.197	-3.689	279.800
266.609	-3.737	280.359
268.053	-3.773	280.921
269.425	-3.886	281.470
270.805	-3.925	282.032
272.165	-3.781	282.584
273.448	-3.756	283.147
274.796	-3.792	283.676
276.095	-3.792	284.223
277.412	-3.733	284.704
278.696	-3.753	285.247
279.958	-3.795	285.780
281.264	-3.689	286.337
282.507	-3.799	286.827
283.696	-3.737	287.346
284.889	-3.726	287.877
286.071	-3.719	288.384
287.248	-3.849	288.857
288.356	-3.755	289.372
289.491	-3.786	289.876
290.549	-3.737	290.497
291.638	-3.647	290.891
292.669	-3.856	291.487
293.757	-3.741	291.938
294.798	-3.877	292.406
295.864	-3.739	292.942
296.897	-3.735	293.445
297.878	-3.981	293.818
298.849	-3.868	294.366
299.866	-3.745	294.719
300.739	-3.794	295.249
301.680	-3.909	295.659
302.591	-3.902	296.073
303.473	-3.891	296.485
304.314	-3.768	296.928
305.223	-4.004	297.272
306.033	-3.872	297.750
306.816	-3.945	298.095
307.619	-3.906	298.492
308.420	-3.988	298.859
309.146	-3.779	299.282
309.971	-3.819	299.630
310.677	-3.850	299.991
311.477	-3.954	300.288
312.156	-4.070	300.606
312.832	-3.977	300.971
313.526	-4.023	301.287
314.198	-3.954	301.655
314.837	-4.083	301.938
315.429	-3.979	302.067
316.079	-4.004	302.549
316.654	-4.050	302.829
317.232	-3.923	303.134
317.757	-4.060	303.184
318.314	-3.874	303.667
318.845	-3.833	303.952
319.313	-3.857	304.204
319.850	-3.864	304.461
320.288	-3.755	304.732
320.749	-3.890	304.898
321.153	-3.699	305.162
321.592	-3.715	305.345
321.985	-3.766	305.363
322.389	-3.757	305.766
322.768	-3.755	305.727
323.110	-3.645	306.128
323.442	-3.787	306.249
323.799	-3.701	306.472
324.096	-3.847	306.430
324.395	-3.707	306.722
324.632	-3.641	306.893
324.874	-3.950	306.965
325.119	-4.008	306.917
325.398	-3.697	307.283
325.550	-3.748	307.353
325.762	-3.863	307.271
325.906	-3.884	307.359
326.051	-3.797	307.383
326.208	-3.716	307.615
326.280	-3.741	307.752
326.387	-3.774	307.757
326.453	-3.797	307.784
326.475	-3.735	307.875
326.555	-3.756	307.804
326.572	-3.741	307.923
326.577	-3.815	307.908
326.579	-3.807	307.849
326.532	-3.789	307.810
326.490	-3.802	307.865
326.431	-3.798	307.856
326.389	-3.887	307.722
326.248	-3.880	307.514
326.134	-3.983	307.427
326.032	-3.849	307.529
325.880	-3.794	307.465
325.706	-3.756	307.415
325.561	-3.877	307.336
325.330	-4.064	306.998
325.117	-3.957	307.098
324.882	-3.846	306.968
324.639	-3.797	306.919
324.375	-3.819	306.760
324.083	-3.816	306.596
323.782	-3.790	306.485
323.484	-3.751	306.288
323.143	-3.724	306.154
322.818	-3.777	305.957
322.445	-3.803	305.777
322.045	-3.770	305.625
321.668	-3.810	305.227
321.250	-3.842	305.174
320.829	-3.868	304.928
320.366	-3.784	304.706
319.917	-3.875	304.532
319.432	-4.054	304.021
318.939	-3.883	304.011
318.408	-3.907	303.745
317.905	-3.976	303.449
317.320	-3.935	303.172
316.742	-3.941	302.852
316.174	-4.048	302.576
315.560	-3.983	302.333
314.939	-4.030	301.985
314.288	-4.062	301.687
313.591	-4.254	301.131
312.923	-4.131	300.800
312.214	-4.066	300.683
311.496	-4.066	300.343
310.760	-4.037	299.993
310.031	-4.041	299.647
309.231	-4.058	299.263
308.476	-4.017	298.912
307.645	-4.047	298.514
306.874	-4.066	298.136
306.014	-4.072	297.740
305.183	-4.101	297.314
304.336	-4.059	296.946
303.490	-4.130	296.490
302.622	-4.099	296.088
301.686	-4.152	295.670
300.789	-4.227	295.208
299.839	-4.094	294.805
298.912	-4.142	294.352
297.903	-4.225	293.851
296.930	-4.211	293.428
295.856	-4.208	292.960
294.788	-4.144	292.491
293.752	-4.195	291.903
292.747	-4.264	291.511
291.632	-4.144	291.046
290.542	-4.172	290.563
289.454	-4.275	290.060
288.379	-4.334	289.549
287.240	-4.135	289.103
286.090	-4.224	288.588
284.924	-4.184	288.070
283.734	-4.171	287.530
282.542	-4.252	287.013
281.248	-4.055	286.522
280.057	-3.974	285.835
278.700	-4.032	285.421
277.440	-4.145	284.873
276.191	-4.011	284.249
274.889	-4.184	283.778
273.513	-4.138	283.215
272.247	-4.215	282.498
270.977	-4.201	281.953
269.607	-3.994	281.402
268.270	-4.180	280.835
266.780	-4.106	280.267
265.326	-3.979	279.738
263.905	-4.151	279.114
262.437	-4.118	278.553
261.016	-3.948	277.995
259.532	-4.021	277.425
258.085	-4.042	276.831
256.525	-4.282	276.201
255.058	-4.269	275.608
253.506	-4.265	275.055
251.954	-4.109	274.477
250.326	-4.195	273.863
248.703	-4.307	273.275
247.098	-4.047	272.746
245.491	-3.950	272.174
243.870	-3.949	271.570
242.247	-3.939	270.979
240.543	-3.919	270.371
238.884	-4.208	269.727
237.213	-4.004	269.170
235.436	-4.151	268.571
233.739	-3.965	267.986
231.976	-4.068	267.377
230.234	-3.745	266.854
228.473	-3.819	266.223
226.673	-3.790	265.632
224.849	-3.766	265.045
223.065	-3.743	264.473
221.241	-3.896	263.849
219.400	-3.685	263.317
217.483	-3.739	262.690
215.598	-3.652	262.086
213.692	-3.620	261.492
211.805	-3.581	260.931
209.904	-3.555	260.332
207.914	-3.723	259.763
205.986	-3.584	259.205
204.037	-3.557	258.620
202.042	-3.480	258.061
200.013	-3.405	257.469
197.987	-3.360	256.888
196.012	-3.369	256.315
193.962	-3.197	255.771
191.945	-3.355	255.205
189.892	-3.292	254.646
187.771	-3.240	254.082
185.716	-3.111	253.553
183.631	-3.071	253.005
181.457	-3.092	252.460
179.312	-3.059	251.932
177.202	-3.059	251.360
175.049	-3.149	250.796
172.887	-3.113	250.281
170.781	-2.843	249.790
168.513	-2.934	249.297
166.349	-2.770	248.767
164.156	-2.732	248.272
161.911	-2.675	247.743
159.715	-2.730	247.226
157.462	-2.687	246.771
155.229	-2.589	246.270
152.983	-2.490	245.807
150.726	-2.382	245.303
148.483	-2.298	244.824
146.160	-2.319	244.385
143.865	-2.390	243.910
141.565	-2.189	243.469
139.248	-2.426	243.005
136.872	-2.157	242.595
134.568	-2.125	242.129
132.250	-2.005	241.699
129.903	-2.090	241.294
127.537	-1.874	240.885
125.171	-1.785	240.481
122.785	-1.857	240.088
120.374	-1.793	239.685
118.009	-1.627	239.269
115.603	-1.566	238.882
113.158	-1.648	238.520
110.822	-1.551	238.147
108.380	-1.382	237.804
105.900	-1.355	237.487
103.512	-1.297	237.090
100.998	-1.373	236.770
98.569	-1.203	236.467
96.168	-1.204	236.098
93.658	-1.312	235.782
91.247	-1.004	235.519
88.710	-1.103	235.202
86.270	-0.923	234.924
83.737	-0.989	234.663
81.232	-0.744	234.356
78.713	-1.011	234.072
76.261	-0.833	233.800
73.718	-0.812	233.618
71.235	-0.687	233.364
68.661	-0.598	233.185
66.151	-0.506	232.943
63.635	-0.691	232.687
61.094	-0.384	232.510
58.558	-0.542	232.298
55.990	-0.531	232.115
53.485	-0.265	231.959
50.916	-0.237	231.779
48.377	-0.180	231.643
45.798	-0.090	231.449
43.241	-0.068	231.341
40.760	-0.050	231.198
38.164	-0.095	231.038
35.612	0.003	230.984
33.045	0.175	230.834
30.473	0.194	230.755
27.904	0.199	230.661
25.364	0.408	230.558
22.782	0.462	230.475
20.213	0.421	230.461
17.673	0.548	230.376
15.118	0.671	230.340
12.459	0.764	230.356
9.922	0.754	230.321
7.357	0.876	230.253
4.806	0.974	230.264
2.181	0.967	230.264
-0.345	1.088	230.306
-2.971	1.132	230.274
-5.561	1.186	230.289
-8.139	1.218	230.308
-10.634	1.352	230.393
-13.196	1.340	230.494
-15.828	1.407	230.490
-18.366	1.545	230.576
-20.884	1.780	230.627
-23.491	1.709	230.750
-26.019	1.699	230.875
-28.612	1.566	230.886
-31.148	1.622	230.994
-33.688	1.853	231.136
-36.243	1.898	231.300
-38.755	1.944	231.416
-41.362	2.085	231.589
-43.879	2.131	231.717
-46.370	2.149	231.912
-48.866	2.262	232.081
-51.398	2.497	232.279
-53.935	2.338	232.403
-56.467	2.436	232.601
-59.024	2.478	232.800
-61.534	2.493	233.033
-64.009	2.683	233.351
-66.533	2.771	233.536
-68.971	3.091	233.872
-71.457	3.048	234.069
-74.004	3.121	234.318
-76.519	2.932	234.530
-78.949	3.122	234.825
-81.400	3.182	235.119
-83.866	3.300	235.398
-86.293	3.368	235.683
-88.737	3.437	235.977
-91.215	3.597	236.329
-93.639	3.545	236.659
-96.072	3.681	236.975
-98.526	3.627	237.315
-100.883	3.863	237.660
