FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 16:51:40.398	226863.56779190
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
0.000	0.000	0.000
-180.296	-7.954	248.246
-184.180	24.205	257.893
-182.027	25.383	257.619
-173.676	-7.834	246.598
-171.628	-7.892	246.009
-169.244	-7.995	245.430
-167.106	-8.105	244.892
-164.677	-7.748	244.427
-162.654	-8.686	243.841
-160.108	-8.005	243.397
-158.099	-8.534	242.724
-155.426	-8.229	242.281
-153.333	-8.547	241.741
-150.871	-8.258	241.379
-148.626	-9.026	240.691
-146.231	-8.564	240.263
-143.957	-9.161	239.754
-141.733	-9.677	239.107
-139.105	-8.946	238.807
-136.728	-9.003	238.288
-134.560	-9.763	237.838
-131.830	-9.239	237.386
-129.413	-9.008	236.945
-127.267	-9.455	236.588
-124.661	-9.596	236.083
-122.227	-9.723	235.669
-119.915	-9.689	235.166
-117.390	-9.394	234.794
-114.988	-9.626	234.357
-112.468	-9.647	234.115
-109.719	-9.251	233.629
-107.462	-9.844	233.263
-104.631	-9.973	232.967
-102.401	-9.835	232.495
-99.848	-10.385	232.056
-97.225	-10.110	231.738
-94.558	-9.851	231.468
-91.836	-9.440	231.174
-89.408	-10.183	230.751
-87.083	-10.109	230.370
-84.431	-10.501	230.165
-81.810	-10.187	229.932
-79.086	-9.702	229.664
-76.462	-9.395	229.432
-73.990	-10.109	228.932
-71.478	-10.389	228.644
-68.898	-10.531	228.451
-66.253	-10.524	228.167
-63.631	-10.305	228.015
-60.879	-10.262	227.790
-58.479	-10.416	227.412
-55.857	-11.482	227.091
-53.188	-10.530	227.049
-50.554	-10.141	226.940
-47.817	-10.410	226.759
-45.153	-10.387	226.537
-42.455	-10.427	226.369
-39.869	-10.405	226.230
-37.523	-11.600	225.877
-34.864	-11.255	225.782
-32.135	-11.495	225.569
-29.394	-11.169	225.557
-26.775	-10.604	225.480
-24.041	-10.983	225.428
-21.629	-11.829	225.203
-19.081	-11.395	225.114
-15.944	-10.390	225.304
-13.612	-11.212	225.047
-10.834	-10.835	225.103
-8.009	-10.678	225.090
-5.682	-10.669	224.893
-2.811	-10.166	225.072
-0.264	-10.959	224.870
2.616	-10.506	225.009
5.257	-10.689	225.013
7.978	-10.634	225.099
10.441	-10.937	224.980
13.376	-10.678	225.143
16.085	-10.692	225.166
18.576	-11.349	225.095
21.492	-10.654	225.237
