FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 18:02:38.334	231121.46081440
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-92.358	3.776	250.224
-89.480	3.710	249.917
-86.736	3.563	249.456
-83.878	3.489	249.004
-80.985	3.203	248.666
-78.182	3.169	248.375
-75.329	2.776	248.020
-72.497	2.720	247.680
-69.605	2.695	247.360
-66.795	2.457	246.955
-63.841	2.387	246.742
-60.944	2.127	246.479
-57.991	2.088	246.152
-55.129	1.964	245.922
-52.260	1.758	245.614
-49.363	1.735	245.442
-46.396	1.454	245.203
-43.532	1.433	245.004
-40.575	1.083	244.745
-37.666	0.765	244.550
-34.728	0.767	244.466
-31.796	0.895	244.356
-28.764	0.773	244.132
-25.876	0.368	243.960
-22.987	0.100	243.783
-20.054	0.053	243.651
-17.145	-0.055	243.554
-14.214	-0.092	243.487
-11.167	-0.155	243.457
-8.199	-0.552	243.315
-5.324	-0.653	243.276
-2.450	-0.838	243.170
0.498	-0.909	243.164
3.433	-0.879	243.217
6.462	-1.122	243.121
9.435	-1.225	243.154
12.403	-1.639	243.200
15.237	-1.718	243.207
18.179	-1.710	243.250
21.064	-1.865	243.360
24.099	-2.007	243.457
26.965	-2.229	243.549
29.995	-2.532	243.551
32.859	-2.815	243.660
35.777	-2.709	243.825
38.709	-2.684	243.958
41.693	-2.701	244.110
44.594	-2.931	244.258
47.579	-3.136	244.392
50.436	-3.193	244.567
53.347	-3.474	244.817
56.298	-3.573	245.012
59.277	-3.601	245.163
62.243	-3.890	245.445
65.136	-4.221	245.615
68.053	-4.191	245.863
70.908	-4.255	246.228
73.759	-4.504	246.465
76.699	-4.551	246.743
79.611	-4.647	247.112
82.470	-4.873	247.383
85.343	-4.838	247.684
88.112	-5.005	248.050
90.933	-5.255	248.395
93.853	-5.536	248.727
96.766	-5.547	249.090
99.557	-5.622	249.470
102.282	-5.683	249.886
105.176	-5.759	250.278
107.861	-6.073	250.726
110.718	-6.179	251.082
113.479	-6.349	251.526
116.298	-6.492	251.961
119.025	-6.504	252.460
121.709	-6.630	252.899
124.474	-6.905	253.340
127.168	-7.372	253.831
129.970	-7.336	254.290
132.657	-7.488	254.731
135.311	-7.535	255.246
138.046	-7.407	255.758
140.682	-7.737	256.288
143.292	-7.932	256.752
146.007	-8.227	257.286
148.663	-8.289	257.842
151.298	-8.135	258.318
153.849	-8.297	258.970
156.448	-8.321	259.592
159.087	-8.497	260.145
161.646	-8.829	260.624
164.215	-8.903	261.253
166.748	-8.974	261.855
169.250	-8.973	262.499
171.831	-9.148	263.075
174.411	-9.314	263.660
176.939	-9.400	264.294
179.508	-9.645	264.934
181.992	-9.768	265.505
184.461	-9.837	266.153
186.876	-9.895	266.805
189.377	-10.049	267.456
191.841	-10.156	268.089
194.299	-10.337	268.723
196.736	-10.441	269.392
199.128	-10.599	270.094
201.485	-10.649	270.767
203.831	-10.806	271.420
206.158	-10.871	272.096
208.521	-11.082	272.766
210.885	-11.209	273.471
213.172	-11.277	274.163
215.461	-11.316	274.871
217.744	-11.309	275.644
219.980	-11.444	276.337
222.197	-11.685	277.027
224.451	-11.815	277.714
226.675	-11.987	278.436
228.867	-12.082	279.137
231.032	-12.126	279.863
233.221	-12.133	280.619
235.356	-12.210	281.350
237.483	-12.248	282.119
239.641	-12.413	282.865
241.726	-12.563	283.641
243.806	-12.744	284.350
245.837	-12.818	285.065
247.884	-12.903	285.801
249.903	-12.954	286.549
251.898	-12.927	287.371
253.893	-13.053	288.058
255.913	-13.199	288.823
257.886	-13.293	289.582
259.833	-13.429	290.294
261.741	-13.523	291.042
263.618	-13.608	291.774
265.454	-13.666	292.539
267.324	-13.780	293.293
269.174	-13.873	294.016
271.038	-13.915	294.788
272.875	-14.080	295.522
274.690	-14.171	296.256
276.462	-14.256	296.984
278.207	-14.307	297.698
279.907	-14.360	298.497
281.614	-14.440	299.222
283.305	-14.560	299.935
285.005	-14.684	300.672
286.672	-14.807	301.399
288.356	-14.956	302.122
289.993	-15.070	302.792
291.601	-15.149	303.508
293.178	-15.206	304.245
294.754	-15.279	304.921
296.301	-15.333	305.601
297.812	-15.302	306.334
299.318	-15.430	307.019
300.841	-15.445	307.773
302.320	-15.635	308.422
303.794	-15.744	309.109
305.252	-15.795	309.797
306.651	-15.936	310.453
308.036	-16.002	311.127
309.403	-16.025	311.801
310.749	-16.070	312.415
312.071	-16.111	313.120
313.392	-16.184	313.730
314.729	-16.294	314.383
315.992	-16.303	315.031
317.270	-16.379	315.655
318.500	-16.398	316.325
319.765	-16.501	316.909
320.961	-16.574	317.519
322.155	-16.639	318.197
323.313	-16.811	318.744
324.462	-16.846	319.284
325.587	-16.907	319.872
326.667	-16.908	320.434
327.759	-16.990	321.008
328.826	-17.130	321.589
329.887	-17.236	322.131
330.944	-17.274	322.621
331.973	-17.377	323.165
332.947	-17.428	323.687
333.936	-17.569	324.170
334.900	-17.620	324.660
335.832	-17.672	325.179
336.735	-17.755	325.642
337.630	-17.784	326.125
338.512	-17.857	326.595
339.338	-17.840	327.091
340.180	-17.937	327.514
340.983	-18.010	327.945
341.775	-18.071	328.410
342.554	-18.058	328.831
343.317	-18.133	329.243
344.068	-18.237	329.643
344.774	-18.263	330.050
345.477	-18.355	330.420
346.162	-18.389	330.824
346.848	-18.445	331.183
347.518	-18.611	331.529
348.125	-18.675	331.846
348.732	-18.692	332.226
349.309	-18.774	332.530
349.885	-18.828	332.872
350.433	-18.884	333.174
350.991	-18.951	333.476
351.489	-19.014	333.768
351.969	-19.089	334.017
352.431	-19.090	334.324
352.881	-19.159	334.568
353.314	-19.221	334.768
353.744	-19.279	335.039
